TestName,Tool,Group,Pass,ExitCode,Tags,InputBytes,AllowedTimeout,TimeUser,TimeSystem,TimeWall,RamUsageMiB
sanity,Yosys,,True,1,sanity,653,30,0.004488,0.005652,0.01014,15.441
event_control_edge,Yosys,,False,1,9.4.2,403,30,0.003155,0.006708,0.009863,15.199
always_comb,Yosys,,True,0,9.2.2.2,390,30,0.007588,0.006673,0.014261,21.441
event_nonblocking_assignment_delay,Yosys,,True,0,9.4.5,434,30,0.009519,0.005289,0.014808,21.453
event_conditional,Yosys,,False,1,9.4.2.3,442,30,0.007613,0.002502,0.010115,15.238
final,Yosys,,False,1,9.2.3,357,30,0.004768,0.005754,0.010522,15.367
always_latch_expr,Yosys,,True,0,9.2.2.3,417,30,0.009453,0.005283,0.014736,21.09
event_implicit,Yosys,,True,0,9.4.2.2,448,30,0.010284,0.0044,0.014684,20.973
always,Yosys,,True,0,9.4.1 9.2.2.1,371,30,0.008201,0.005973,0.014174,20.984
always_ff,Yosys,,True,0,9.2.2.4,410,30,0.006592,0.007491,0.014083,21.316
initial,Yosys,,True,0,9.2.1,363,30,0.009018,0.004876,0.013894,20.633
disable,Yosys,,False,1,9.6.2,416,30,0.007115,0.003224,0.010339,15.324
event_comma_op,Yosys,,True,0,9.4.2.1,458,30,0.00972,0.004841,0.014561,21.043
block_names_seq,Yosys,,True,0,9.3.4,455,30,0.009843,0.004333,0.014176,21.227
event_blocking_assignment_delay,Yosys,,True,0,9.4.5,426,30,0.009,0.005414,0.014414,21.516
event_or_op,Yosys,,True,0,9.4.2.1,458,30,0.010058,0.004111,0.014169,21.465
statement_labels_seq,Yosys,,False,1,9.3.5,461,30,0.00416,0.006192,0.010352,15.129
event_control_posedge,Yosys,,True,0,9.4.2,409,30,0.010101,0.004165,0.014266,21.109
sequential_block,Yosys,,True,0,9.3.1,437,30,0.009318,0.005187,0.014505,21.328
event_control_negedge,Yosys,,True,0,9.4.2,409,30,0.005591,0.008483,0.014074,21.629
assert_test,Yosys,,True,0,uvm-req 16.2,367,30,0.008375,0.006187,0.014562,21.492
property_prec_test,Yosys,,False,1,uvm-req 16.12,429,30,0.006155,0.004097,0.010252,15.484
assert_final_test,Yosys,,False,1,16.4,377,30,0.004852,0.005084,0.009936,15.367
assume_property_test,Yosys,,False,1,16.14,412,30,0.004018,0.006226,0.010244,15.254
property_disable_iff_min_test,Yosys,,False,1,uvm-req 16.12,468,30,0.005743,0.004597,0.01034,15.34
assume0_test,Yosys,,False,1,16.4,365,30,0.006257,0.004347,0.010604,15.066
expect_test,Yosys,,False,1,16.17 uvm-req,415,30,0.006399,0.004112,0.010511,15.348
cover_final_test,Yosys,,False,1,16.4,374,30,0.005302,0.005343,0.010645,15.445
cover_test,Yosys,,True,0,uvm-req 16.2,364,30,0.009493,0.004779,0.014272,21.32
property_test,Yosys,,False,1,uvm-req 16.12,398,30,0.004419,0.006352,0.010771,15.52
assume_test,Yosys,,True,0,uvm-req 16.2,366,30,0.006425,0.007628,0.014053,21.562
assert0_test,Yosys,,False,1,16.4,366,30,0.005292,0.00551,0.010802,15.422
assume_final_test,Yosys,,False,1,16.4,376,30,0.007695,0.002818,0.010513,15.113
cover0_test,Yosys,,False,1,16.4,363,30,0.007553,0.00307,0.010623,15.375
property_disj_test,Yosys,,False,1,uvm-req 16.12,414,30,0.004756,0.005829,0.010585,15.141
property_iff_test,Yosys,,False,1,uvm-req 16.12,415,30,0.006411,0.003998,0.010409,15.141
operations-on-packed-arrays-equality,Yosys,,True,0,7.4.3,691,30,0.008239,0.006406,0.014645,21.445
operations-on-packed-arrays-rw,Yosys,,True,0,7.4.3,628,30,0.007951,0.006843,0.014794,21.57
operations-on-packed-arrays-slice-equality,Yosys,,True,0,7.4.3,723,30,0.006859,0.008513,0.015372,21.488
operations-on-packed-arrays-variable-slice-rw,Yosys,,True,0,7.4.3 7.4.6,715,30,0.010285,0.004393,0.014678,21.777
operations-on-packed-arrays-one-bit,Yosys,,True,0,7.4.3,660,30,0.007308,0.007194,0.014502,21.891
operations-on-arrays-treat-as-integer,Yosys,,True,0,7.4.3,578,30,0.012402,0.002204,0.014606,21.707
